,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R,GENDER,AGE_R,LIC
100,5,30,6.89,0,19,2,4,3,Female,35-54 years,Yes
101,5,15,4.69,0,19,2,4,3,Female,35-54 years,Yes
102,5,15,0.0,0,19,1,4,3,Female,35-54 years,Yes
103,5,5,0.0,0,19,1,4,3,Female,35-54 years,Yes
104,5,5,1.41,0,19,1,4,3,Female,35-54 years,Yes
105,5,40,13.86,0,19,1,4,3,Female,35-54 years,Yes
106,5,10,3.34,0,19,1,4,3,Female,35-54 years,Yes
107,5,5,2.97,0,19,3,4,3,Female,35-54 years,Yes
108,2,5,1.77,0,19,1,2,2,Female,35-54 years,Yes
109,2,8,1.84,0,19,1,2,2,Female,35-54 years,Yes
110,2,30,10.8,0,19,1,2,2,Female,35-54 years,Yes
111,2,15,10.47,0,19,1,2,2,Female,35-54 years,Yes
112,1,20,6.86,0,19,1,2,1,Female,65 years or older,Yes
113,1,15,6.86,0,19,1,2,1,Female,65 years or older,Yes
114,4,55,20.81,1,6,1,4,2,Female,35-54 years,Yes
115,4,5,1.27,0,19,1,4,2,Female,35-54 years,Yes
116,4,5,1.27,0,19,1,4,2,Male,35-54 years,Yes
117,4,5,1.27,0,19,1,4,2,Male,35-54 years,Yes
118,4,5,2.46,0,19,1,4,2,Male,35-54 years,Yes
119,4,5,1.77,0,19,1,4,2,Male,35-54 years,Yes
120,4,10,1.27,0,19,1,4,2,Male,35-54 years,Yes
121,4,25,1.01,0,19,1,4,2,Male,35-54 years,Yes
122,4,5,0.98,0,19,1,4,2,Male,35-54 years,Yes
123,4,5,2.46,0,19,1,4,2,Male,35-54 years,Yes
124,4,5,0.41,0,19,2,4,2,Male,35-54 years,Yes
125,4,12,1.77,0,19,3,4,2,Male,35-54 years,Yes
126,1,125,39.02,1,19,1,2,2,Male,55-64 years,Yes
127,1,22,14.73,0,19,1,2,2,Male,55-64 years,Yes
128,1,27,15.34,0,19,1,2,2,Male,55-64 years,Yes
129,2,45,0.0,0,19,1,4,2,Female,55-64 years,Yes
130,2,20,12.05,0,19,1,4,2,Female,55-64 years,Yes
131,2,60,37.21,0,19,1,4,2,Female,55-64 years,Yes
132,2,15,2.62,0,19,1,4,2,Female,55-64 years,Yes
133,2,30,6.55,0,19,1,4,2,Female,55-64 years,Yes
134,2,50,28.86,0,19,1,4,2,Female,55-64 years,Yes
135,2,30,12.05,0,19,1,4,2,Female,55-64 years,Yes
136,2,30,25.64,0,19,1,4,2,Female,55-64 years,Yes
137,2,30,0.0,0,19,1,4,2,Female,55-64 years,Yes
138,4,15,7.81,0,19,1,9,3,Male,35-54 years,Yes
139,4,22,7.81,0,19,1,9,3,Male,35-54 years,Yes
140,5,5,0.37,0,19,2,3,3,Female,35-54 years,Yes
141,5,18,7.91,0,19,1,3,3,Female,35-54 years,Yes
142,5,30,7.78,0,19,1,3,3,Female,35-54 years,Yes
143,5,5,0.37,0,19,2,3,3,Female,35-54 years,Yes
144,5,105,33.56,1,19,1,3,3,Male,35-54 years,Yes
145,3,40,12.2,0,19,1,2,3,Male,35-54 years,Yes
146,3,60,9.81,0,19,1,2,3,Male,35-54 years,Yes
147,3,50,14.06,0,19,1,2,3,Male,35-54 years,Yes
148,3,10,7.67,0,19,1,1,2,Male,55-64 years,Yes
149,3,15,7.5,0,19,1,1,2,Male,55-64 years,Yes
150,2,20,7.03,0,19,1,4,2,Female,25-34 years,Yes
151,2,22,7.03,0,19,1,4,2,Female,25-34 years,Yes
152,4,30,7.29,0,19,1,4,2,Male,35-54 years,Yes
153,4,30,7.29,0,19,1,4,2,Male,35-54 years,Yes
154,2,23,10.84,0,19,1,9,2,Female,65 years or older,Yes
155,2,28,14.25,0,19,1,9,2,Female,65 years or older,Yes
156,2,57,7.35,0,19,1,9,2,Female,65 years or older,Yes
157,3,98,21.51,1,6,1,4,3,Male,65 years or older,Yes
158,3,41,16.73,1,19,1,4,3,Female,55-64 years,Yes
159,3,10,1.72,0,19,1,4,3,Male,25-34 years,Yes
160,3,9,1.72,0,19,1,4,3,Male,25-34 years,Yes
161,2,9,0.77,0,19,1,2,2,Female,35-54 years,Yes
162,2,29,19.74,0,19,1,2,2,Female,35-54 years,Yes
163,2,4,0.75,0,19,1,2,2,Female,35-54 years,Yes
164,2,26,18.69,0,19,1,2,2,Female,35-54 years,Yes
165,2,30,17.44,0,19,2,3,3,Male,35-54 years,Yes
166,2,45,17.91,0,19,1,3,3,Male,35-54 years,Yes
167,2,40,21.51,0,17,2,3,3,Female,35-54 years,Yes
168,2,40,22.15,0,19,1,3,3,Female,35-54 years,Yes
169,1,40,26.31,0,19,1,2,1,Female,55-64 years,Yes
170,1,35,25.85,0,19,1,2,1,Female,55-64 years,Yes
171,2,24,9.03,0,19,1,4,2,Male,35-54 years,Yes
172,2,30,9.07,0,19,1,4,2,Male,35-54 years,Yes
173,4,18,0.0,0,19,1,4,3,Male,35-54 years,Yes
174,4,5,0.0,0,19,1,4,3,Male,35-54 years,Yes
175,4,21,9.64,0,19,1,4,3,Male,35-54 years,Yes
176,2,40,2.16,0,19,1,2,2,Male,55-64 years,Yes
177,2,5,2.16,0,19,1,2,2,Male,55-64 years,Yes
178,2,5,2.16,0,19,1,2,2,Male,55-64 years,Yes
179,2,5,2.16,0,19,1,2,2,Male,55-64 years,Yes
180,2,15,14.84,0,19,1,2,2,Female,55-64 years,Yes
181,2,15,14.31,0,19,1,2,2,Female,55-64 years,Yes
182,1,60,40.88,1,19,1,2,1,Female,35-54 years,Yes
183,2,18,8.71,0,19,1,4,2,Female,35-54 years,Yes
184,2,17,6.61,0,19,1,4,2,Female,35-54 years,Yes
185,2,3,0.0,0,19,1,4,2,Female,35-54 years,Yes
186,2,40,0.0,0,19,1,4,2,Female,35-54 years,Yes
187,2,6,2.16,0,19,1,4,2,Male,35-54 years,Yes
188,2,2,0.36,0,19,1,4,2,Male,35-54 years,Yes
189,2,20,15.02,0,19,1,4,2,Male,35-54 years,Yes
190,2,6,3.0,0,19,1,4,2,Male,35-54 years,Yes
191,2,9,3.02,0,19,1,4,2,Male,35-54 years,Yes
192,2,22,15.61,0,19,1,4,2,Male,35-54 years,Yes
193,2,1,0.36,0,19,1,4,2,Male,35-54 years,Yes
194,2,2,0.36,0,19,1,4,2,Male,35-54 years,Yes
195,2,10,2.16,0,19,1,4,2,Male,35-54 years,Yes
196,4,4,2.08,0,19,1,4,2,Male,25-34 years,Yes
197,4,3,2.37,0,19,1,4,2,Male,25-34 years,Yes
198,2,15,2.47,0,19,1,2,2,Female,19-24 years,Yes
199,2,9,0.0,0,19,2,2,2,Female,19-24 years,Yes
200,2,3,0.0,0,19,2,2,2,Female,19-24 years,Yes
201,2,5,0.0,0,19,2,2,2,Female,19-24 years,Yes
202,2,15,0.0,0,19,2,2,2,Female,19-24 years,Yes
203,2,9,2.54,0,19,1,2,2,Female,19-24 years,Yes
204,2,15,3.47,0,19,1,4,2,Male,55-64 years,Yes
205,2,15,3.47,0,19,1,4,2,Male,55-64 years,Yes
206,4,15,4.2,0,19,1,2,3,Female,35-54 years,Yes
207,4,16,4.34,0,19,1,2,3,Female,35-54 years,Yes
208,4,17,4.47,0,19,1,2,3,Male,35-54 years,Yes
209,4,15,4.47,0,19,1,2,3,Male,35-54 years,Yes
210,4,15,4.47,0,19,1,2,3,Male,35-54 years,Yes
211,4,18,4.47,0,19,1,2,3,Male,35-54 years,Yes
212,1,15,3.43,0,19,1,2,2,Male,35-54 years,Yes
213,1,15,2.64,0,19,1,2,2,Male,35-54 years,Yes
214,1,10,1.3,0,19,1,2,2,Male,35-54 years,Yes
215,3,37,21.25,0,19,1,2,1,Female,35-54 years,Yes
216,3,27,20.63,0,19,1,2,1,Female,35-54 years,Yes
217,3,29,20.86,0,19,1,2,1,Female,35-54 years,Yes
218,3,58,2.48,0,19,1,2,1,Female,35-54 years,Yes
219,3,33,20.99,0,19,1,2,1,Female,35-54 years,Yes
220,1,109,0.0,1,6,1,4,3,Male,55-64 years,Yes
221,2,25,7.82,0,19,1,4,2,Female,55-64 years,Yes
222,2,25,7.83,0,19,1,4,2,Female,55-64 years,Yes
223,2,35,27.97,0,19,1,4,2,Male,55-64 years,Yes
224,2,52,28.1,0,19,1,4,2,Male,55-64 years,Yes
225,1,11,6.91,0,19,1,3,1,Female,55-64 years,Yes
226,1,12,9.96,0,19,1,3,1,Female,55-64 years,Yes
227,1,6,1.26,0,19,1,3,1,Female,55-64 years,Yes
228,1,12,11.97,0,19,1,3,1,Female,55-64 years,Yes
229,1,11,7.36,0,19,1,3,1,Female,55-64 years,Yes
230,1,4,0.87,0,19,1,3,1,Female,55-64 years,Yes
231,2,10,4.57,0,19,1,2,2,Female,35-54 years,Yes
232,2,10,4.68,0,19,1,2,2,Female,35-54 years,Yes
233,2,15,0.0,0,19,1,4,2,Male,55-64 years,Yes
234,2,41,26.25,0,19,1,4,2,Male,55-64 years,Yes
235,2,16,0.0,0,19,1,4,2,Male,55-64 years,Yes
236,2,10,0.0,0,19,1,4,2,Female,55-64 years,Yes
237,2,8,9.99,0,19,1,4,2,Female,55-64 years,Yes
238,2,12,9.65,0,19,1,4,2,Female,55-64 years,Yes
239,2,4,1.41,0,19,1,4,2,Female,55-64 years,Yes
240,2,8,0.0,0,19,1,4,2,Female,55-64 years,Yes
241,2,20,0.0,0,19,1,4,2,Female,55-64 years,Yes
242,2,30,0.0,0,19,1,4,2,Female,55-64 years,Yes
243,5,7,2.63,0,19,2,4,3,Female,55-64 years,Yes
244,5,13,2.15,0,19,1,4,3,Female,55-64 years,Yes
245,5,3,1.12,0,19,1,4,3,Female,55-64 years,Yes
246,5,5,1.12,0,19,1,4,3,Female,55-64 years,Yes
247,5,15,2.15,0,19,1,4,3,Female,55-64 years,Yes
248,5,18,2.11,0,19,2,4,3,Female,55-64 years,Yes
249,5,68,22.97,1,6,2,4,3,Male,55-64 years,Yes
250,5,20,2.2,0,17,2,4,3,Male,25-34 years,Yes
251,5,21,2.29,0,17,2,4,3,Male,25-34 years,Yes
252,5,20,2.2,0,19,2,4,3,Male,19-24 years,Yes
253,5,21,2.29,0,19,2,4,3,Male,19-24 years,Yes
254,2,31,0.0,0,19,1,9,3,Male,35-54 years,Yes
255,2,47,0.0,0,19,1,9,3,Male,35-54 years,Yes
256,2,7,2.49,0,19,1,9,3,Female,35-54 years,Yes
257,2,39,43.53,1,19,2,9,3,Female,35-54 years,Yes
258,2,6,2.49,0,19,1,9,3,Female,35-54 years,Yes
259,2,26,10.28,0,19,1,3,2,Male,Younger than 16 years,
260,2,20,9.39,0,19,1,3,2,Male,Younger than 16 years,
261,2,27,3.52,0,19,1,3,2,Male,Younger than 16 years,
262,3,50,24.52,0,19,1,2,2,Male,35-54 years,Yes
263,3,30,22.5,0,19,1,2,2,Male,35-54 years,Yes
264,3,50,21.91,0,19,1,2,2,Female,35-54 years,Yes
265,3,50,20.44,0,19,1,2,2,Female,35-54 years,Yes
266,3,40,11.88,0,19,1,2,2,Female,19-24 years,Yes
267,3,50,11.88,0,19,1,2,2,Female,19-24 years,Yes
268,3,73,69.2,1,19,1,4,3,Male,55-64 years,Yes
269,2,37,11.96,1,19,1,4,3,Female,35-54 years,Yes
270,2,8,2.86,0,19,1,3,2,Male,65 years or older,Yes
271,2,4,1.89,0,19,1,3,2,Male,65 years or older,Yes
272,2,5,3.4,0,19,1,3,2,Male,65 years or older,Yes
273,2,6,3.4,0,19,1,3,2,Male,65 years or older,Yes
274,2,3,3.4,0,19,1,3,2,Male,65 years or older,Yes
275,8,29,19.95,0,19,1,9,3,Male,55-64 years,Yes
276,8,44,21.95,0,19,1,9,3,Male,55-64 years,Yes
277,8,46,21.95,0,19,1,9,3,Male,55-64 years,Yes
278,8,34,19.95,0,19,1,9,3,Male,55-64 years,Yes
279,4,60,10.22,1,19,1,4,2,Female,35-54 years,Yes
280,4,80,0.0,1,6,1,4,2,Male,35-54 years,Yes
281,4,10,1.54,0,19,1,3,3,Male,25-34 years,Yes
282,4,15,1.54,0,19,1,3,3,Male,25-34 years,Yes
283,2,101,30.69,1,6,1,9,2,Male,Age not provided,Yes
284,1,25,11.71,0,19,1,2,1,Female,65 years or older,Yes
285,1,45,14.83,0,19,1,2,1,Female,65 years or older,Yes
286,2,88,41.53,1,6,1,4,3,Male,35-54 years,Yes
287,2,5,4.12,0,19,1,4,3,Male,35-54 years,Yes
288,3,18,14.23,0,19,1,9,3,Male,25-34 years,Yes
289,3,35,37.6,0,19,1,9,3,Male,25-34 years,Yes
290,3,35,14.06,0,19,1,9,3,Male,25-34 years,Yes
291,3,30,12.07,0,19,1,9,3,Female,35-54 years,Yes
292,3,30,12.05,0,19,1,9,3,Female,35-54 years,Yes
293,5,55,39.99,1,19,1,2,2,Male,35-54 years,Yes
294,1,85,19.35,1,6,1,2,0,Female,55-64 years,No
295,3,30,12.14,1,19,1,3,2,Male,35-54 years,Yes
296,3,5,1.21,0,19,2,3,2,Female,25-34 years,Yes
297,3,5,1.21,0,19,1,3,2,Female,25-34 years,Yes
298,2,75,31.39,1,6,1,4,3,Male,55-64 years,Yes
299,2,7,1.82,0,19,1,4,3,Male,55-64 years,Yes
300,4,31,17.31,0,19,2,4,2,Male,Age not provided,Yes
301,4,36,17.85,0,19,2,4,2,Male,Age not provided,Yes
302,4,10,3.09,0,19,1,4,2,Female,Age not provided,Yes
303,4,10,3.09,0,19,1,4,2,Female,Age not provided,Yes
304,3,7,0.4,0,23,1,3,3,Female,55-64 years,Yes
305,3,5,0.4,0,23,1,3,3,Female,55-64 years,Yes
306,2,60,30.58,0,19,1,4,2,Male,55-64 years,Yes
307,2,60,31.05,0,19,1,4,2,Male,55-64 years,Yes
308,2,40,25.67,1,19,1,4,2,Female,55-64 years,Yes
309,2,10,0.26,1,19,1,2,2,Male,65 years or older,Yes
310,3,4,3.19,0,19,1,4,2,Female,35-54 years,Yes
311,3,5,2.82,0,19,1,4,2,Female,35-54 years,Yes
312,3,5,3.19,0,19,1,4,2,Female,35-54 years,Yes
313,3,5,2.82,0,19,1,4,2,Female,35-54 years,Yes
314,3,15,11.43,0,19,1,4,2,Male,35-54 years,Yes
315,3,18,13.31,0,19,1,4,2,Male,35-54 years,Yes
316,2,38,20.75,0,19,1,4,2,Female,25-34 years,Yes
317,2,7,1.72,0,19,1,4,2,Female,25-34 years,Yes
318,2,45,21.54,0,19,1,4,2,Female,25-34 years,Yes
319,2,18,15.95,0,19,1,4,2,Female,25-34 years,Yes
320,2,18,15.58,0,19,1,4,2,Female,25-34 years,Yes
321,1,5,0.43,0,19,1,2,1,Female,55-64 years,Yes
322,1,6,0.43,0,19,1,2,1,Female,55-64 years,Yes
323,3,43,36.18,0,19,1,2,3,Male,35-54 years,Yes
324,3,5,1.22,0,19,1,2,3,Male,35-54 years,Yes
325,3,15,1.22,0,19,1,2,3,Male,35-54 years,Yes
326,3,125,35.54,0,19,1,2,3,Male,35-54 years,Yes
327,4,75,53.08,0,19,1,4,3,Male,35-54 years,Yes
328,4,75,53.02,0,19,1,4,3,Male,35-54 years,Yes
329,4,15,1.35,0,19,1,4,3,Female,19-24 years,Yes
330,4,14,1.35,0,19,1,4,3,Female,19-24 years,Yes
331,4,6,2.17,0,19,1,4,2,Female,35-54 years,Yes
332,4,27,19.99,0,19,1,4,2,Female,35-54 years,Yes
333,4,16,2.85,0,19,1,4,2,Female,35-54 years,Yes
334,4,2,0.86,0,19,1,4,2,Female,35-54 years,Yes
335,4,45,26.95,0,19,1,4,2,Female,35-54 years,Yes
336,4,17,0.75,0,19,1,4,2,Female,35-54 years,Yes
337,4,5,2.01,0,19,1,4,2,Female,35-54 years,Yes
338,2,3,8.41,0,19,1,4,2,Female,25-34 years,Yes
339,2,4,1.33,0,19,1,4,2,Female,25-34 years,Yes
340,2,12,8.41,0,19,1,4,2,Female,25-34 years,Yes
341,2,2,1.61,0,19,1,4,2,Female,25-34 years,Yes
342,2,12,8.41,0,19,1,4,2,Female,25-34 years,Yes
343,2,17,1.33,0,19,1,4,2,Female,25-34 years,Yes
344,2,16,8.41,0,19,1,4,2,Female,25-34 years,Yes
345,2,30,21.79,0,19,1,4,2,Male,55-64 years,Yes
346,2,24,22.19,0,19,1,4,2,Male,55-64 years,Yes
347,2,28,21.79,0,19,1,4,2,Male,55-64 years,Yes
348,2,26,12.18,0,19,1,4,2,Male,55-64 years,Yes
349,2,19,8.41,0,19,1,4,2,Male,55-64 years,Yes
350,2,15,1.61,0,19,1,2,1,Male,55-64 years,Yes
351,2,15,1.47,0,19,1,2,1,Male,55-64 years,Yes
352,2,30,14.42,0,19,1,2,2,Female,35-54 years,Yes
353,2,30,11.98,0,19,1,2,2,Female,35-54 years,Yes
354,2,70,28.44,1,6,1,4,2,Female,55-64 years,Yes
355,2,40,24.57,1,19,1,4,2,Female,35-54 years,Yes
356,1,30,0.0,0,17,2,2,1,Male,35-54 years,No
357,1,25,0.0,0,17,2,2,1,Male,35-54 years,No
358,1,15,1.58,0,17,2,2,1,Male,35-54 years,No
359,5,12,2.57,0,19,1,4,3,Male,25-34 years,Yes
360,5,12,2.57,0,19,1,4,3,Male,25-34 years,Yes
361,5,4,1.09,0,19,1,4,3,Male,25-34 years,Yes
362,5,25,2.21,0,19,1,4,3,Male,25-34 years,Yes
363,5,10,2.57,0,19,1,4,3,Male,25-34 years,Yes
364,5,70,20.06,1,6,2,4,3,Female,19-24 years,Yes
365,1,25,0.75,0,19,1,2,1,Female,55-64 years,Yes
366,1,5,4.04,0,19,1,2,1,Female,55-64 years,Yes
367,1,15,0.92,0,19,1,2,1,Female,55-64 years,Yes
368,1,5,0.92,0,19,1,2,1,Female,55-64 years,Yes
369,1,8,1.93,0,19,1,2,1,Female,55-64 years,Yes
370,1,10,5.29,0,19,1,2,1,Female,55-64 years,Yes
371,3,40,16.03,0,19,1,4,3,Female,35-54 years,Yes
372,3,45,9.98,0,19,1,4,3,Female,35-54 years,Yes
373,3,30,7.35,0,19,1,4,3,Female,35-54 years,Yes
374,3,88,60.28,0,19,1,4,3,Male,55-64 years,Yes
375,3,105,60.28,0,19,1,4,3,Male,55-64 years,Yes
376,2,20,3.64,0,19,1,3,2,Female,35-54 years,Yes
377,2,20,3.64,0,19,1,3,2,Female,35-54 years,Yes
378,2,30,0.0,0,19,1,3,2,Male,35-54 years,Yes
379,2,20,0.0,0,19,1,3,2,Male,35-54 years,Yes
380,4,6,3.47,0,19,1,3,2,Female,35-54 years,Yes
381,4,5,2.31,0,19,1,3,2,Female,35-54 years,Yes
382,4,6,1.49,0,19,2,3,2,Female,35-54 years,Yes
383,4,8,1.93,0,19,2,3,2,Female,35-54 years,Yes
384,4,8,3.45,0,19,1,3,2,Female,35-54 years,Yes
385,4,12,3.47,0,19,1,3,2,Male,35-54 years,Yes
386,4,10,0.92,0,19,1,3,2,Male,35-54 years,Yes
387,4,13,3.45,0,19,2,3,2,Male,35-54 years,Yes
388,3,39,13.43,0,19,2,3,2,Female,25-34 years,Yes
389,3,8,3.76,0,19,1,3,2,Female,25-34 years,Yes
390,3,28,8.46,0,19,1,3,2,Female,25-34 years,Yes
391,3,27,9.37,0,19,1,3,2,Male,25-34 years,Yes
392,3,35,2.74,0,19,1,3,2,Male,25-34 years,Yes
393,3,10,1.74,0,19,1,3,2,Male,25-34 years,Yes
394,3,20,13.9,0,19,2,3,2,Male,25-34 years,Yes
395,1,10,2.84,0,19,1,1,1,Male,55-64 years,Yes
396,1,15,2.27,0,19,1,1,1,Male,55-64 years,Yes
397,1,5,0.42,0,19,1,1,1,Male,55-64 years,Yes
398,1,10,0.82,0,19,1,1,1,Male,55-64 years,Yes
399,1,10,1.95,0,19,1,1,1,Male,55-64 years,Yes
400,4,39,17.73,0,19,1,4,2,Male,35-54 years,Yes
401,4,38,17.7,0,19,1,4,2,Male,35-54 years,Yes
402,4,15,3.49,0,19,1,4,2,Female,35-54 years,Yes
403,4,15,3.49,0,19,1,4,2,Female,35-54 years,Yes
404,5,5,4.12,0,19,1,4,2,Male,35-54 years,Yes
405,5,5,4.12,0,19,1,4,2,Male,35-54 years,Yes
406,3,3,0.0,0,19,1,4,3,Female,55-64 years,Yes
407,3,12,0.0,0,19,1,4,3,Female,55-64 years,Yes
408,3,11,8.77,0,19,1,4,3,Female,55-64 years,Yes
409,3,17,3.63,0,19,1,4,3,Male,35-54 years,Yes
410,3,18,3.63,0,19,1,4,3,Male,35-54 years,Yes
411,1,21,15.1,0,19,1,3,1,Male,35-54 years,Yes
412,1,14,2.97,0,19,1,3,1,Male,35-54 years,Yes
413,1,26,17.48,0,19,1,3,1,Male,35-54 years,Yes
414,1,25,15.1,0,19,1,3,1,Male,35-54 years,Yes
415,1,23,15.18,0,19,1,3,1,Male,35-54 years,Yes
416,1,2,0.76,0,19,1,2,1,Female,55-64 years,Yes
417,1,20,5.88,0,19,1,2,1,Female,55-64 years,Yes
418,1,26,10.52,0,19,1,2,1,Female,55-64 years,Yes
419,1,45,15.0,0,19,1,2,1,Female,55-64 years,Yes
